tle_id,tle_chain_id,tle_company_name,tle_address,tle_city,tle_province,tle_postal_code,tle_market_segment,tle_menu_type,tle_years_in_business,tle_number_employees,tle_chain_units,tle_annual_sales_estimate,tle_average_check,tle_website,tle_latitude,tle_longitude,tle_yelp_url,tle_facebook_url,tle_opentable_url,tle_mp_food_beverage_disposables_purchase
CA02152126222305,CA05090001050419,ROCKY MOUNTAIN CHOCOLATE FACTORY,181 BAY ST,TORONTO,ON,M5J2T3,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",BAKERIES / DONUTS / SNACKS UNCLASSIFIED,2 TO 5 YEARS,UNCODED,10-50 UNITS,"$500,001 - $1,000,000",$5 TO $7,http://www.rockychoc.com,43.6469494,-79.3793494,,,,123767.44
CA02120021467217,,NATURALLY YOURS,100 KING ST,YORK,ON,M9N1L3,LSR - DELIVERY AND TAKE AWAY ONLY,VEGETARIAN,5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"$500,001 - $1,000,000",$7 TO $10,,43.64849302,-79.38229916,http://www.yelp.com/biz/naturally-yours-health-food-and-vegetarian-gourmet-toronto,,,168399.14
CA02159692128401,,MAD BATTER BAKERS,135 JEFFERSON AVE,TORONTO,ON,M6K3E4,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",BAKERIES / DONUTS / SNACKS UNCLASSIFIED,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"$500,001 - $1,000,000",$7 TO $10,http://www.madbatterbakers.com/,43.6396804,-79.422026,http://www.yelp.com/biz/mad-batter-bakers-toronto,https://www.facebook.com/madbatterbakers/,,125094.5
CA02154721029422,,GAYLEY'S CAFE,1424 DUNDAS ST W,TORONTO,ON,M6J1Y5,LSR - FAST CASUAL,VEGETARIAN,5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$7 TO $10,http://gayleyscafe.com/,43.6496823,-79.4294954,http://www.yelp.com/biz/gayleys-cafe-toronto,https://www.facebook.com/gayleyscafe,,175021.95
CA02100021151222,,RUSSIAN SAMOVAR,505 MOUNT PLEASANT RD,TORONTO,ON,M4S2L9,"FSR - CAFÉ-RESTAURANTS, FAMILY-STYLE, DINER",RUSSIAN,5 YEARS PLUS,5 TO 9,INDEPENDENT (1-9 UNITS),"<=$500,000",$10 TO $15,,43.7015462,-79.3872684,,,,145299.88
CA02140945135227,,PURPLE ONION,2998 DUNDAS ST W,TORONTO,ON,M6P1Z3,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",FAMILY STEAK / CHOPHOUSE,5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"$1,000,001 - $2,500,000",$10 TO $15,http://www.purpleonion.ca,43.6654538,-79.4694478,http://www.yelp.com/biz/purple-onion-restaurant-toronto,https://www.facebook.com/pages/category/Family-Style-Restaurant/Purple-Onion-Restaurant-114492971929615/,,806094.65
CA02157057328619,,SABORES TRADICIONAIS,1682 ST CLAIR AVE W,TORONTO,ON,M6N1H8,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",PORTUGUESE,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$15 TO $20,,,,,https://www.facebook.com/pages/category/Portuguese-Restaurant/Sabores-Tradicionais-238511033539363/,,95394.7
CA02143356067802,CA05194341660529,FANCY FRANKS,326 COLLEGE ST,TORONTO,ON,M5T1S3,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",HOT DOGS,5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$5 TO $7,http://www.fancyfranks.com/,43.6576364,-79.4026524,http://www.yelp.com/biz/fancy-franks-toronto,https://www.facebook.com/FancyFranksGourmetHotDogs,,168353.79
CA02100018117503,,BANABOIA RESTAURANT,501 ROGERS RD,YORK,ON,M6M1B4,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",PORTUGUESE,5 YEARS PLUS,1 TO 4,INDEPENDENT (1-9 UNITS),"<=$500,000",$15 TO $20,,43.6819178,-79.4681709,http://www.yelp.com/biz/banaboia-restaurant-york,http://www.facebook.com/pages/Banaboia-Restaurant/130021523697614,,146865
CA02100023197727,,NEW ORLEANS SEAFOOD & STEAKHOUSE,267 SCARLETT RD,YORK,ON,M6N4L1,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CAJUN & CREOLE,5 YEARS PLUS,10 TO 19,INDEPENDENT (1-9 UNITS),"<=$500,000",$15 TO $20,http://cajuntoronto.ca/,43.6776487,-79.5064622,http://www.yelp.com/biz/new-orleans-seafood-and-steakhouse-york,https://www.facebook.com/pages/New-Orleans-Seafood-Steakhouse/132739570088095,,145948.11
CA02100016494820,,CALIFORNIA RESTAURANT & TAVERN,914 PAPE AVE,EAST YORK,ON,M4K3V2,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CAJUN & CREOLE,5 YEARS PLUS,5 TO 9,INDEPENDENT (1-9 UNITS),"<=$500,000",$15 TO $20,http://www.californiapubandgrill.com/,43.6858022,-79.3474691,http://www.yelp.com/biz/california-restaurant-and-tavern-east-york,https://www.facebook.com/californiapubandgrill/,,72715.42
CA02165629445822,,NAAN AND KABOB,300 BOROUGH DR,SCARBOROUGH,ON,M1P4P5,LSR - FAST CASUAL,KEBABS,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$7 TO $10,,43.775568,-79.254868,,,,67371.84
CA02100015124317,,MONTREAL DELICATESSEN & FAMILY RESTAURANT,2055 DUNDAS ST E,MISSISSAUGA,ON,L4X2V9,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",DELI,5 YEARS PLUS,5 TO 9,INDEPENDENT (1-9 UNITS),"$500,001 - $1,000,000",$7 TO $10,http://www.themontrealdelirestaurant.ca/,43.6233,-79.5688992,http://www.yelp.com/biz/montreal-delicatessen-and-family-restaurant-mississauga,,,316945.28
CA02174983178021,,CHICKEN IDOL,85 ELLESMERE RD,SCARBOROUGH,ON,M1R4B9,LSR - FAST CASUAL,ETHNIC CHICKEN,1 TO 2 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"$500,001 - $1,000,000",$7 TO $10,,,,,,,249848.88
CA02170772405025,CA05090011114402,RUTHS CHRIS STEAK HOUSE,970 DIXON RD,ETOBICOKE,ON,M9W1J9,FSR - FINE DINING RESTAURANTS,STEAK & SEAFOOD,1 TO 2 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"$2,500,001 - $5,000,000",$75 TO $100,http://www.ruthschris.ca,,,,,,1884465
CA02152598037620,CA05090001023125,THE KEG STEAKHOUSE AND BAR,560 KING ST W,TORONTO,ON,M5V0L5,FSR - UPSCALE CASUAL DINING RESTAURANTS,FAMILY STEAK / CHOPHOUSE,5 YEARS PLUS,UNCODED,101-250 UNITS,">$5,000,000",$20 TO $30,http://www.kegsteakhouse.com,43.645126,-79.39888,http://www.yelp.com/biz/the-keg-steakhouse-and-bar-toronto-5,https://www.facebook.com/KingWestKeg/,,2655939.49
CA02155741918120,,UPTOWN CHURRASQUEIRA,67-2300 FINCH AVE W,NORTH YORK,ON,M9M2Y3,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",PORTUGUESE,5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$15 TO $20,,43.7524238,-79.5412304,http://www.yelp.com/biz/uptown-churrasqueira-north-york,https://www.facebook.com/pages/Uptown-Churrasqueira/296556290392692,,93553.03
CA02154959811102,,HOT DOGS AND FRIES,235 QUEENS QUAY W,TORONTO,ON,M5J2G8,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",HOT DOGS,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$7 TO $10,,43.6391182,-79.3828906,,,,162087.2
CA02152301198301,,WOLFIE'S DELICATESSEN SPECIALTIES,670 SHEPPARD AVE W,NORTH YORK,ON,M3H2S5,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",DELI,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$7 TO $10,http://www.mywolfies.com,43.7546098,-79.4428736,http://www.yelp.com/biz/wolfies-delicatessen-specialties-north-york,https://www.facebook.com/wolfiesdeli/,,316974.94
CA02151597904805,CA05090001037716,THE CROISSANT TREE,60 YONGE ST,TORONTO,ON,M5E1H5,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",BAKERIES / DONUTS / SNACKS UNCLASSIFIED,5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"$500,001 - $1,000,000",$5 TO $7,http://www.croissanttree.com,43.6483651,-79.3780331,http://www.yelp.com/biz/the-croissant-tree-toronto-3,https://www.facebook.com/pages/The-Croissant-Tree/199874863729040,,129983.85
CA02158610253908,,GUSTUS INTERNATIONAL CUISINE,1110 WILSON AVE,NORTH YORK,ON,M3M1G7,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER LATIN AMERICA,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"$500,001 - $1,000,000",$15 TO $20,,43.726552,-79.482893,,,,340853.66
CA02157701839107,,UNIQUE CAFE,1680 ST CLAIR AVE W,TORONTO,ON,M6N1H8,LSR - FAST CASUAL,PORTUGUESE,5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"$500,001 - $1,000,000",$10 TO $15,http://uniquecafestclair.zyro.com/,43.674768,-79.4584266,http://www.yelp.com/biz/unique-cafe-restaurant-toronto,https://www.facebook.com/pages/category/Jamaican-Restaurant/Unique-Restaurant-and-Bar-900466936789309/,,126417.31
CA02136245158208,,OAK PARK DELI,213 OAK PARK AVE,EAST YORK,ON,M4C4N2,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",DELI,5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$7 TO $10,http://oakparkdeli.com/,43.6939414,-79.3103815,http://www.yelp.com/biz/oak-park-deli-east-york,https://www.facebook.com/pages/Oak-Park-Deli/135439373148485,,85389.68
CA02100020656807,,MORTON'S THE STEAKHOUSE,4 AVENUE RD,TORONTO,ON,M5R2E8,FSR - FINE DINING RESTAURANTS,FAMILY STEAK / CHOPHOUSE,5 YEARS PLUS,10 TO 19,INDEPENDENT (1-9 UNITS),"$2,500,001 - $5,000,000",$50 TO $75,http://www.mortons.com/,43.6687178,-79.3941567,http://www.yelp.com/biz/mortons-the-steakhouse-toronto,https://www.facebook.com/Mortons,http://www.opentable.com/mortons-the-steakhouse-toronto,1460999.83
CA02150999721121,CA05120022627409,KERNELS EXTRAORDINARY POPCORN,6045 MAVIS RD,MISSISSAUGA,ON,L5R4G6,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",SNACKS,2 TO 5 YEARS,UNCODED,51-100 UNITS,"<=$500,000",$5 TO $7,https://www.kernelspopcorn.com/,43.613192,-79.697119,,,,97962.99
CA02151344435900,,POPCORN COMMISSARY #1,259 RICHMOND ST W,TORONTO,ON,M5V3M6,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",SNACKS,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"$500,001 - $1,000,000",$5 TO $7,,,,,,,206738.11
CA02157499318329,,ALDO'S RESTAURANT,750 OAKDALE RD,NORTH YORK,ON,M3N2Z4,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER LATIN AMERICA,5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"$500,001 - $1,000,000",$15 TO $20,,43.7519369,-79.52699875,http://www.yelp.com/biz/aldos-restaurant-peruvian-food-toronto,https://www.facebook.com/aldosplaceperuvian/,,688523.7
CA02151704063326,CA05194341660529,FANCY FRANKS,453 QUEEN ST W,TORONTO,ON,M5V2A9,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",HOT DOGS,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$5 TO $7,http://www.fancyfranks.com/,43.6485148,-79.3970308,http://www.yelp.com/biz/fancy-franks-toronto-3,https://www.facebook.com/pages/Fancy-Franks-453-Queen-St/349571828576378,,142208.57
CA02167562340030,,JERSEY BOYZ,3391 BLOOR ST W,ETOBICOKE,ON,M8X1G3,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",SUBS,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$5 TO $7,,43.644476,-79.52392,,,,135927.12
CA02154919372006,,HOT BUNZZ,2-1341 MATHESON BLVD E,MISSISSAUGA,ON,L4W1R1,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",BAKERIES / DONUTS / SNACKS UNCLASSIFIED,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"$500,001 - $1,000,000",$7 TO $10,,43.639843,-79.633175,,,,206905.04
CA02100013677930,,QUEEN CARRIBEAN,500 REXDALE BLVD,ETOBICOKE,ON,M9W6K5,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",SOUTH & CENTRAL AMERICA/ CARIBBEAN UNCLASSIFIED,5 YEARS PLUS,10 TO 19,INDEPENDENT (1-9 UNITS),"$500,001 - $1,000,000",$15 TO $20,,43.7194383,-79.6008261,,https://www.facebook.com/sandzja/posts/slide-screen-left-to-see-liquor-pricessandz-toronto-come-alive-this-sunday-pre-s/1081899098672750/,,213495.78
CA02150431576911,,SWEET ROSIE'S,123 QUEEN ST W,TORONTO,ON,M5H3M9,"FSR - CAFÉ-RESTAURANTS, FAMILY-STYLE, DINER",BAKERIES / DONUTS / SNACKS UNCLASSIFIED,5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$7 TO $10,,43.6511831,-79.3844597,http://www.yelp.com/biz/sweet-rosies-bakery-toronto,https://www.facebook.com/BNGSheraton/?rf=138048749542105,,77955.29
CA02174645864022,,FRESH DELI,703 EVANS AVE,ETOBICOKE,ON,M9C5E9,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",DELI,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$5 TO $7,,43.608833,-79.55691,,,,135665.27
CA02159521519528,,CAFE STAR,2221 KEELE ST,NORTH YORK,ON,M6M3Z5,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",SNACKS,5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"$500,001 - $1,000,000",$5 TO $7,,43.6993977,-79.4756372,,,,208136.12
CA02100017349208,,URBAN HERBIVORE,64 OXFORD ST,TORONTO,ON,M5T1P1,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",VEGETARIAN,5 YEARS PLUS,10 TO 19,INDEPENDENT (1-9 UNITS),"<=$500,000",$10 TO $15,http://herbivore.to,43.6562133,-79.4028542,http://www.yelp.com/biz/urban-herbivore-toronto-2,https://www.facebook.com/UrbanHerbivore,,72556.1
CA02178376821512,,KOSHER DINING,4 AVENUE RD,TORONTO,ON,M5R2E8,FSR - FINE DINING RESTAURANTS,KOSHER / JEWISH / ISRAELI,5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"$1,000,001 - $2,500,000",$50 TO $75,,43.669009,-79.394281,,,,482664.25
CA02149950047610,,CAFE 668,885 DUNDAS ST W,TORONTO,ON,M6J1V9,LSR - FAST CASUAL,VEGETARIAN,5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$10 TO $15,http://www.cafe668.com,43.6509487,-79.4116679,http://www.yelp.com/biz/cafe-668-toronto,https://www.facebook.com/pages/Cafe-668/215158575519300?nr,,94593.63
CA02170235371304,,FRESHGRILL,5120 DIXIE RD,MISSISSAUGA,ON,L4W4J7,FSR - UPSCALE CASUAL DINING RESTAURANTS,FRIED CHICKEN,5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$30 TO $50,,43.6272,-79.6222,,,,160087.78
CA02160381074724,,CHURRASQUEIRA ALTO MINHO,1686 ST CLAIR AVE W,TORONTO,ON,M6N1H8,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",PORTUGUESE,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$5 TO $7,,43.674549,-79.458595,,,,57458.81
CA02100022442104,,BARDI'S STEAK HOUSE,56 YORK ST,TORONTO,ON,M5J1S8,FSR - FINE DINING RESTAURANTS,FAMILY STEAK / CHOPHOUSE,5 YEARS PLUS,20 TO 49,INDEPENDENT (1-9 UNITS),"$1,000,001 - $2,500,000",$50 TO $75,http://www.bardis.com/,43.6461052,-79.3829588,http://www.yelp.com/biz/bardis-steak-house-toronto,http://www.facebook.com/bardissteakhouse,http://www.opentable.com/bardis-steakhouse,405644.23
CA02165456715003,,DRUXY'S,5550 EXPLORER DR,MISSISSAUGA,ON,L4W0C3,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",DELI,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$7 TO $10,,43.660142,-79.610242,,,,136230.32
CA02100016788613,,MI TIERRA RESTAURANT,828 ST CLAIR AVE W,TORONTO,ON,M6C1C1,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER LATIN AMERICA,5 YEARS PLUS,1 TO 4,INDEPENDENT (1-9 UNITS),"<=$500,000",$15 TO $20,,43.680801,-79.431102,http://www.yelp.com/biz/mi-tierra-restaurant-toronto,http://www.facebook.com/pages/Restaurante-Mi-Tierra-Toronto-Canada/325424066390,,43567.34
CA02152894352604,,AL TAYEB,1801 LAWRENCE AVE E,SCARBOROUGH,ON,M1R2X9,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",LEBANESE,5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$10 TO $15,,43.743045,-79.305294,http://www.yelp.com/biz/altayeb-kabab-toronto,https://www.facebook.com/pages/category/Restaurant/AlTayebScarborough/about/,,74206.28
CA02154643907319,,ETOB RESTAURANT,379 ALBION RD,ETOBICOKE,ON,M9W3P4,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","NORTH AFRICAN (TUNISIAN, ALGERIAN, MOROCCAN)",5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"$500,001 - $1,000,000",$10 TO $15,https://etobrestaurant.business.site,43.7253315,-79.5509232,http://www.yelp.com/biz/etob-restaurant-etobicoke,https://www.facebook.com/pages/Etob-Restaurant/129915267043087,,73593.31
CA02110010089628,CA05090011072113,KRISPY KREME,5920 MAVIS RD,MISSISSAUGA,ON,L5V2P5,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",DONUTS,5 YEARS PLUS,5 TO 9,INDEPENDENT (1-9 UNITS),"$1,000,001 - $2,500,000",$5 TO $7,http://www.krispykreme.ca/,43.6097698,-79.6934724,http://www.yelp.com/biz/krispy-kreme-doughnuts-mississauga,https://www.facebook.com/Krispy-Kreme-353945371873688/,,747225
